YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND
2025,,0,,,1,1,64
2025,,0,,,16,64,64
2025,,0,,,8,1,64
2025,,0,,,9,64,64
2025,,0,,,5,1,64
2025,,0,,,12,64,64
2025,,0,,,4,1,64
2025,,0,,,13,64,64
2025,,0,,,6,1,64
2025,,0,,,11,64,64
2025,,0,,,3,1,64
2025,,0,,,14,64,64
2025,,0,,,7,1,64
2025,,0,,,10,64,64
2025,,0,,,2,1,64
2025,,0,,,15,64,64
2025,,0,,,1,1,64
2025,,0,,,16,64,64
2025,,0,,,8,1,64
2025,,0,,,9,64,64
2025,,0,,,5,1,64
2025,,0,,,12,64,64
2025,,0,,,4,1,64
2025,,0,,,13,64,64
2025,,0,,,6,1,64
2025,,0,,,11,64,64
2025,,0,,,3,1,64
2025,,0,,,14,64,64
2025,,0,,,7,1,64
2025,,0,,,10,64,64
2025,,0,,,2,1,64
2025,,0,,,15,64,64
2025,,0,,,1,1,64
2025,,0,,,16,64,64
2025,,0,,,8,1,64
2025,,0,,,9,64,64
2025,,0,,,5,1,64
2025,,0,,,12,64,64
2025,,0,,,4,1,64
2025,,0,,,13,64,64
2025,,0,,,6,1,64
2025,,0,,,11,64,64
2025,,0,,,3,1,64
2025,,0,,,14,64,64
2025,,0,,,7,1,64
2025,,0,,,10,64,64
2025,,0,,,2,1,64
2025,,0,,,15,64,64
2025,,0,,,1,1,64
2025,,0,,,16,64,64
2025,,0,,,8,1,64
2025,,0,,,9,64,64
2025,,0,,,5,1,64
2025,,0,,,12,64,64
2025,,0,,,4,1,64
2025,,0,,,13,64,64
2025,,0,,,6,1,64
2025,,0,,,11,64,64
2025,,0,,,3,1,64
2025,,0,,,14,64,64
2025,,0,,,7,1,64
2025,,0,,,10,64,64
2025,,0,,,2,1,64
2025,,0,,,15,64,64
