,YEAR,TEAM NO_A,TEAM NO_B,Team1_Seed,Team2_Seed,Prediction1,Prediction2,Prob_T1_Wins_a,Prob_T1_Wins_b,Team1_Name,Team2_Name,Winner_Name
0,2025,1141,1145,1.0,16.0,1,1.0,1,1.0,Auburn,Alabama St.,Auburn
1,2025,1141,1099,1.0,16.0,1,1.0,1,1.0,Auburn,Saint Francis,Auburn
2,2025,1119,1134,8.0,9.0,1,1.0,1,1.0,Louisville,Creighton,Louisville
3,2025,1114,1089,5.0,12.0,0,0.0,0,0.0,Michigan,UC San Diego,UC San Diego
4,2025,1092,1080,4.0,13.0,1,1.0,1,1.0,Texas A&M,Yale,Texas A&M
5,2025,1112,1097,6.0,11.0,1,1.0,1,1.0,Mississippi,San Diego St.,Mississippi
6,2025,1112,1104,6.0,11.0,0,0.0,0,0.0,Mississippi,North Carolina,North Carolina
7,2025,1124,1120,3.0,14.0,1,1.0,1,1.0,Iowa St.,Lipscomb,Iowa St.
8,2025,1118,1106,7.0,10.0,1,1.0,1,1.0,Marquette,New Mexico,Marquette
9,2025,1113,1139,2.0,15.0,1,1.0,1,1.0,Michigan St.,Bryant,Michigan St.
10,2025,1131,1105,1.0,16.0,1,1.0,1,1.0,Florida,Norfolk St.,Florida
11,2025,1135,1103,8.0,9.0,1,1.0,1,1.0,Connecticut,Oklahoma,Connecticut
12,2025,1115,1136,12.0,5.0,0,0.0,0,0.0,Memphis,Colorado St.,Colorado St.
13,2025,1117,1128,4.0,13.0,1,1.0,1,1.0,Maryland,Grand Canyon,Maryland
14,2025,1110,1133,6.0,11.0,0,0.0,0,0.0,Missouri,Drake,Drake
15,2025,1091,1087,3.0,14.0,1,1.0,1,1.0,Texas Tech,UNC Wilmington,Texas Tech
16,2025,1123,1142,7.0,10.0,1,1.0,1,1.0,Kansas,Arkansas,Kansas
17,2025,1095,1107,2.0,15.0,1,1.0,1,1.0,St. John's,Nebraska Omaha,St. John's
18,2025,1132,1144,1.0,16.0,1,1.0,1,1.0,Duke,American,Duke
19,2025,1132,1108,1.0,16.0,1,1.0,1,1.0,Duke,Mount St. Mary's,Duke
20,2025,1111,1140,9.0,8.0,1,1.0,1,1.0,Mississippi St.,Baylor,Mississippi St.
21,2025,1102,1121,5.0,12.0,1,1.0,1,1.0,Oregon,Liberty,Oregon
22,2025,1143,1147,4.0,13.0,1,1.0,1,1.0,Arizona,Akron,Arizona
23,2025,1138,1084,6.0,11.0,0,0.0,0,0.0,BYU,VCU,VCU
24,2025,1083,1109,3.0,14.0,1,1.0,1,1.0,Wisconsin,Montana,Wisconsin
25,2025,1098,1085,7.0,10.0,1,1.0,1,1.0,Saint Mary's,Vanderbilt,Saint Mary's
26,2025,1146,1100,2.0,15.0,1,1.0,1,1.0,Alabama,Robert Morris,Alabama
27,2025,1126,1096,1.0,16.0,1,1.0,1,1.0,Houston,SIU Edwardsville,Houston
28,2025,1129,1130,8.0,9.0,1,1.0,1,1.0,Gonzaga,Georgia,Gonzaga
